Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
1552572000.0,2019-03-14 02-PM,BTCKRW,4339000,4381000,4285000,4349000,900.52,3902008353.9
1552568400.0,2019-03-14 01-PM,BTCKRW,4331000,4342000,4329000,4339000,238.66,1034391880.72
1552564800.0,2019-03-14 12-PM,BTCKRW,4330000,4345000,4325000,4331000,263.68,1143684703.9
1552561200.0,2019-03-14 11-AM,BTCKRW,4340000,4341000,4325000,4330000,180.28,781257491.99
1552557600.0,2019-03-14 10-AM,BTCKRW,4336000,4342000,4332000,4340000,262.89,1140288757.83
1552554000.0,2019-03-14 09-AM,BTCKRW,4340000,4340000,4331000,4336000,182.47,790861861.39
1552550400.0,2019-03-14 08-AM,BTCKRW,4335000,4340000,4327000,4340000,188.06,814874249.3
1552546800.0,2019-03-14 07-AM,BTCKRW,4331000,4338000,4329000,4335000,142.23,616267503.36
1552543200.0,2019-03-14 06-AM,BTCKRW,4340000,4342000,4326000,4331000,292.78,1269237768.87
1552539600.0,2019-03-14 05-AM,BTCKRW,4340000,4343000,4335000,4340000,155.39,674207011.68
1552536000.0,2019-03-14 04-AM,BTCKRW,4335000,4344000,4329000,4340000,160.74,697361994.81
1552532400.0,2019-03-14 03-AM,BTCKRW,4335000,4343000,4333000,4335000,156.22,677617840.43
1552528800.0,2019-03-14 02-AM,BTCKRW,4340000,4343000,4334000,4335000,130.18,564764299.78
1552525200.0,2019-03-14 01-AM,BTCKRW,4339000,4342000,4327000,4340000,211.62,917396550.14
1552521600.0,2019-03-14 12-AM,BTCKRW,4325000,4340000,4320000,4339000,193.58,838298203.7
1552518000.0,2019-03-13 11-PM,BTCKRW,4316000,4328000,4314000,4325000,101.19,437347232.49
1552514400.0,2019-03-13 10-PM,BTCKRW,4319000,4327000,4316000,4316000,105.56,456139741.25
1552510800.0,2019-03-13 09-PM,BTCKRW,4323000,4324000,4315000,4319000,73.24,316418663.25
1552507200.0,2019-03-13 08-PM,BTCKRW,4326000,4328000,4315000,4323000,110.86,479159193.31
1552503600.0,2019-03-13 07-PM,BTCKRW,4324000,4331000,4318000,4326000,82.82,358236937.47
1552500000.0,2019-03-13 06-PM,BTCKRW,4325000,4328000,4318000,4324000,61.25,264859655.8
1552496400.0,2019-03-13 05-PM,BTCKRW,4319000,4330000,4314000,4325000,103.41,446855263.39
1552492800.0,2019-03-13 04-PM,BTCKRW,4323000,4329000,4314000,4319000,87.93,379960832.55
1552489200.0,2019-03-13 03-PM,BTCKRW,4316000,4329000,4312000,4323000,142.78,616593745.97
1552485600.0,2019-03-13 02-PM,BTCKRW,4332000,4343000,4310000,4316000,232.99,1008321538.66
1552482000.0,2019-03-13 01-PM,BTCKRW,4335000,4350000,4320000,4332000,441.55,1916255790.36
1552478400.0,2019-03-13 12-PM,BTCKRW,4316000,4342000,4309000,4335000,312.56,1350853494.45
1552474800.0,2019-03-13 11-AM,BTCKRW,4303000,4322000,4298000,4316000,192.83,831129279.95
1552471200.0,2019-03-13 10-AM,BTCKRW,4327000,4330000,4298000,4303000,368.2,1587512284.26
1552467600.0,2019-03-13 09-AM,BTCKRW,4330000,4338000,4322000,4327000,133.5,578208693.4
1552464000.0,2019-03-13 08-AM,BTCKRW,4340000,4344000,4330000,4330000,127.22,551755505.77
1552460400.0,2019-03-13 07-AM,BTCKRW,4340000,4343000,4336000,4340000,142.66,618946511.95
1552456800.0,2019-03-13 06-AM,BTCKRW,4333000,4344000,4332000,4340000,168.35,730224294.86
1552453200.0,2019-03-13 05-AM,BTCKRW,4335000,4340000,4330000,4333000,166.88,723419903.84
1552449600.0,2019-03-13 04-AM,BTCKRW,4349000,4350000,4333000,4335000,132.73,576279278.22
1552446000.0,2019-03-13 03-AM,BTCKRW,4339000,4349000,4335000,4349000,210.48,914108697.83
1552442400.0,2019-03-13 02-AM,BTCKRW,4336000,4340000,4330000,4339000,145.62,631318471.92
1552438800.0,2019-03-13 01-AM,BTCKRW,4329000,4342000,4321000,4336000,135.57,587062203.11
1552435200.0,2019-03-13 12-AM,BTCKRW,4323000,4329000,4313000,4329000,234.99,1015468807.06
1552431600.0,2019-03-12 11-PM,BTCKRW,4332000,4339000,4318000,4323000,153.17,662415422.75
1552428000.0,2019-03-12 10-PM,BTCKRW,4332000,4337000,4327000,4332000,98.94,428653472.39
1552424400.0,2019-03-12 09-PM,BTCKRW,4335000,4344000,4324000,4332000,64.92,281351367.21
1552420800.0,2019-03-12 08-PM,BTCKRW,4335000,4344000,4332000,4335000,63.7,276284735.42
1552417200.0,2019-03-12 07-PM,BTCKRW,4339000,4342000,4330000,4335000,119.29,517279249.65
1552413600.0,2019-03-12 06-PM,BTCKRW,4337000,4344000,4333000,4339000,92.33,400599515.45
1552410000.0,2019-03-12 05-PM,BTCKRW,4337000,4338000,4328000,4337000,51.83,224590198.91
1552406400.0,2019-03-12 04-PM,BTCKRW,4318000,4337000,4311000,4337000,145.17,628054547.19
1552402800.0,2019-03-12 03-PM,BTCKRW,4330000,4339000,4315000,4318000,159.22,688560182.38
1552399200.0,2019-03-12 02-PM,BTCKRW,4343000,4354000,4329000,4330000,301.53,1309640927.04
1552395600.0,2019-03-12 01-PM,BTCKRW,4341000,4352000,4337000,4343000,237.35,1031197513.33
1552392000.0,2019-03-12 12-PM,BTCKRW,4339000,4347000,4332000,4341000,162.1,703351423.94
1552388400.0,2019-03-12 11-AM,BTCKRW,4343000,4349000,4333000,4339000,178.33,774002470.54
1552384800.0,2019-03-12 10-AM,BTCKRW,4337000,4349000,4333000,4343000,286.54,1244334792.75
1552381200.0,2019-03-12 09-AM,BTCKRW,4334000,4338000,4326000,4337000,159.11,689412745.81
1552377600.0,2019-03-12 08-AM,BTCKRW,4316000,4340000,4316000,4334000,376.88,1631603932.38
1552374000.0,2019-03-12 07-AM,BTCKRW,4308000,4319000,4305000,4316000,140.55,606119988.41
1552370400.0,2019-03-12 06-AM,BTCKRW,4292000,4310000,4291000,4308000,187.2,805589470.03
1552366800.0,2019-03-12 05-AM,BTCKRW,4296000,4300000,4288000,4292000,162.74,698796634.41
1552363200.0,2019-03-12 04-AM,BTCKRW,4281000,4297000,4275000,4296000,133.46,571691833.59
1552359600.0,2019-03-12 03-AM,BTCKRW,4280000,4295000,4275000,4281000,139.04,595572677.8
1552356000.0,2019-03-12 02-AM,BTCKRW,4292000,4293000,4272000,4280000,217.75,932901878.87
1552352400.0,2019-03-12 01-AM,BTCKRW,4296000,4305000,4285000,4292000,192.71,827491810.65
1552348800.0,2019-03-12 12-AM,BTCKRW,4335000,4335000,4291000,4296000,384.2,1655533329.52
1552345200.0,2019-03-11 11-PM,BTCKRW,4327000,4335000,4323000,4335000,120.24,520687338.24
1552341600.0,2019-03-11 10-PM,BTCKRW,4330000,4333000,4323000,4327000,106.54,461084025.48
1552338000.0,2019-03-11 09-PM,BTCKRW,4321000,4330000,4310000,4330000,118.77,513141323.92
1552334400.0,2019-03-11 08-PM,BTCKRW,4313000,4326000,4311000,4321000,110.4,476887237.87
1552330800.0,2019-03-11 07-PM,BTCKRW,4324000,4329000,4309000,4313000,112.31,484787649.56
1552327200.0,2019-03-11 06-PM,BTCKRW,4325000,4335000,4315000,4324000,178.9,773809115.41
1552323600.0,2019-03-11 05-PM,BTCKRW,4321000,4330000,4316000,4325000,127.86,552647129.65
1552320000.0,2019-03-11 04-PM,BTCKRW,4308000,4322000,4308000,4321000,92.32,398582568.37
1552316400.0,2019-03-11 03-PM,BTCKRW,4321000,4329000,4308000,4308000,126.13,544520546.9
1552312800.0,2019-03-11 02-PM,BTCKRW,4328000,4329000,4314000,4321000,251.77,1087965270.81
